number,Filename 0,Agent 0 pos x,Agent 0 pos y,Agent 0 pos z,Landmark 0 pos x,Landmark 0 pos y,Landmark 0 pos z,Distance 0,Filename 1,Agent 1 pos x,Agent 1 pos y,Agent 1 pos z,Landmark 1 pos x,Landmark 1 pos y,Landmark 1 pos z,Distance 1,Filename 2,Agent 2 pos x,Agent 2 pos y,Agent 2 pos z,Landmark 2 pos x,Landmark 2 pos y,Landmark 2 pos z,Distance 2,Filename 3,Agent 3 pos x,Agent 3 pos y,Agent 3 pos z,Landmark 3 pos x,Landmark 3 pos y,Landmark 3 pos z,Distance 3,Filename 4,Agent 4 pos x,Agent 4 pos y,Agent 4 pos z,Landmark 4 pos x,Landmark 4 pos y,Landmark 4 pos z,Distance 4,Filename 5,Agent 5 pos x,Agent 5 pos y,Agent 5 pos z,Landmark 5 pos x,Landmark 5 pos y,Landmark 5 pos z,Distance 5
1,ear1-P1133_1,23,72,39,28.0,76.0,39.0,6.403125168301052,ear1-P1133_1,26,72,37,28.0,72.0,35.0,2.8284274619209984,ear1-P1133_1,27,71,29,28.0,71.0,26.0,3.162277735562962,ear1-P1133_1,27,71,37,28.0,71.0,37.0,1.000000238418579,ear1-P1133_1,27,72,46,27.0,72.0,47.0,1.0,ear1-P1133_1,31,79,51,29.0,76.0,51.0,3.6055515399656763
2,ear2-P0060_1,45,73,39,45.0,72.0,42.0,3.1622776601683795,ear2-P0060_1,47,72,36,47.0,72.0,41.0,5.0,ear2-P0060_1,48,72,34,48.0,72.0,35.0,1.0,ear2-P0060_1,48,71,42,48.0,73.0,42.0,2.0,ear2-P0060_1,48,73,48,48.0,73.0,48.0,0.0,ear2-P0060_1,53,81,54,52.0,82.0,53.0,1.7320519087778241
3,ear2-P0060_2,44,74,41,44.0,73.0,45.0,4.123105625617661,ear2-P0060_2,47,74,38,47.0,73.0,43.0,5.0990195135927845,ear2-P0060_2,47,73,35,48.0,73.0,36.0,1.4142146581915809,ear2-P0060_2,47,72,43,48.0,72.0,43.0,1.0000015497207642,ear2-P0060_2,47,73,49,47.0,73.0,50.0,1.0,ear2-P0060_2,51,81,55,50.0,80.0,56.0,1.7320517023010398
4,ear2-P0407_1,35,68,38,39.0,68.0,37.0,4.123106550817653,ear2-P0407_1,39,69,32,40.0,68.0,37.0,5.196152468590314,ear2-P0407_1,41,68,30,41.0,68.0,30.0,0.0,ear2-P0407_1,40,68,37,41.0,68.0,38.0,1.4142137309604992,ear2-P0407_1,41,69,45,41.0,68.0,43.0,2.23606797749979,ear2-P0407_1,45,75,50,44.0,77.0,51.0,2.449489840117165
5,ear2-P1051_1,36,75,37,39.0,73.0,37.0,3.6055560364953605,ear2-P1051_1,41,73,30,41.0,73.0,35.0,5.0,ear2-P1051_1,44,73,28,42.0,71.0,28.0,2.828429822145781,ear2-P1051_1,42,73,39,42.0,73.0,37.0,2.0,ear2-P1051_1,44,73,45,42.0,73.0,45.0,2.0000038146972656,ear2-P1051_1,46,82,51,48.0,82.0,49.0,2.828429822145781
6,ear2-P1051_2,36,73,35,40.0,73.0,37.0,4.472115696445352,ear2-P1051_2,41,73,31,41.0,73.0,36.0,5.0,ear2-P1051_2,43,73,27,42.0,70.0,26.0,3.3166230830695183,ear2-P1051_2,43,73,39,42.0,73.0,35.0,4.123104252277591,ear2-P1051_2,44,73,45,43.0,74.0,44.0,1.7320475383630658,ear2-P1051_2,44,80,51,48.0,81.0,50.0,4.242619332722757
7,ear2-P1065_3,35,73,63,37.0,72.0,60.0,3.7416573867739413,ear2-P1065_3,38,73,59,39.0,72.0,58.0,1.7320508075688772,ear2-P1065_3,27,56,21,39.0,73.0,51.0,36.51027252705737,ear2-P1065_3,41,72,61,40.0,73.0,60.0,1.7320508075688772,ear2-P1065_3,41,74,69,40.0,74.0,67.0,2.23606797749979,ear2-P1065_3,46,81,73,44.0,81.0,72.0,2.23606797749979
8,ear2-P1094_1,44,80,41,43.0,80.0,42.0,1.4142160911862667,ear2-P1094_1,46,79,40,46.0,80.0,39.0,1.4142135623730951,ear2-P1094_1,47,79,34,47.0,78.0,32.0,2.23606797749979,ear2-P1094_1,47,79,40,47.0,79.0,40.0,0.0,ear2-P1094_1,48,80,45,47.0,80.0,48.0,3.162278791088819,ear2-P1094_1,53,90,53,51.0,89.0,52.0,2.449495582825299
9,011_1_R,28,44,39,30.0,50.0,38.0,6.4031242374328485,011_1_R,30,44,35,31.0,46.0,39.0,4.58257569495584,011_1_R,30,43,28,30.0,43.0,30.0,2.0,011_1_R,31,44,35,30.0,43.0,35.0,1.4142135623730951,011_1_R,30,44,43,31.0,43.0,41.0,2.449489742783178,011_1_R,34,51,48,34.0,51.0,47.0,1.0
10,020_1_L,29,70,38,29.0,69.0,39.0,1.4142135623730951,020_1_L,31,70,37,30.0,69.0,36.0,1.7320508075688772,020_1_L,33,70,28,32.0,70.0,30.0,2.23606797749979,020_1_L,32,69,37,31.0,69.0,37.0,1.0,020_1_L,31,69,43,32.0,68.0,44.0,1.7320508075688772,020_1_L,34,74,50,36.0,76.0,50.0,2.8284271247461903
