number,Filename 0,Agent 0 pos x,Agent 0 pos y,Agent 0 pos z,Landmark 0 pos x,Landmark 0 pos y,Landmark 0 pos z,Distance 0,Filename 1,Agent 1 pos x,Agent 1 pos y,Agent 1 pos z,Landmark 1 pos x,Landmark 1 pos y,Landmark 1 pos z,Distance 1,Filename 2,Agent 2 pos x,Agent 2 pos y,Agent 2 pos z,Landmark 2 pos x,Landmark 2 pos y,Landmark 2 pos z,Distance 2,Filename 3,Agent 3 pos x,Agent 3 pos y,Agent 3 pos z,Landmark 3 pos x,Landmark 3 pos y,Landmark 3 pos z,Distance 3,Filename 4,Agent 4 pos x,Agent 4 pos y,Agent 4 pos z,Landmark 4 pos x,Landmark 4 pos y,Landmark 4 pos z,Distance 4,Filename 5,Agent 5 pos x,Agent 5 pos y,Agent 5 pos z,Landmark 5 pos x,Landmark 5 pos y,Landmark 5 pos z,Distance 5
1,ear1-P1133_1,23,72,40,28.0,76.0,39.0,6.480741618127541,ear1-P1133_1,24,72,37,28.0,72.0,35.0,4.4721368079918395,ear1-P1133_1,25,71,30,28.0,71.0,26.0,5.000000429153475,ear1-P1133_1,26,72,37,28.0,71.0,37.0,2.2360684039959198,ear1-P1133_1,26,72,45,27.0,72.0,47.0,2.23606808412383,ear1-P1133_1,30,80,48,29.0,76.0,51.0,5.099019560350521
2,ear2-P0060_1,46,73,42,45.0,72.0,42.0,1.4142149110728905,ear2-P0060_1,47,73,40,47.0,72.0,41.0,1.4142135623730951,ear2-P0060_1,48,72,35,48.0,72.0,35.0,0.0,ear2-P0060_1,53,59,52,48.0,73.0,42.0,17.916475528616743,ear2-P0060_1,75,12,109,48.0,73.0,48.0,90.3935992253708,ear2-P0060_1,52,80,54,52.0,82.0,53.0,2.23606797749979
3,ear2-P0060_2,56,22,96,44.0,73.0,45.0,73.11634869384497,ear2-P0060_2,47,73,43,47.0,73.0,43.0,0.0,ear2-P0060_2,49,72,37,48.0,73.0,36.0,1.7320517023010398,ear2-P0060_2,58,26,77,48.0,72.0,43.0,58.068927232594824,ear2-P0060_2,74,12,109,47.0,73.0,50.0,89.05617474097248,ear2-P0060_2,52,80,54,50.0,80.0,56.0,2.8284293163831618
4,ear2-P0407_1,37,69,40,39.0,68.0,37.0,3.7416576416541454,ear2-P0407_1,39,68,37,40.0,68.0,37.0,1.000000238418579,ear2-P0407_1,100,5,91,41.0,68.0,30.0,105.69295936754891,ear2-P0407_1,39,68,38,41.0,68.0,38.0,2.000000476837158,ear2-P0407_1,84,11,109,41.0,68.0,43.0,97.23168661332586,ear2-P0407_1,42,75,49,44.0,77.0,51.0,3.464101890439838
5,ear2-P1051_1,39,74,38,39.0,73.0,37.0,1.4142135623730951,ear2-P1051_1,46,67,38,41.0,73.0,35.0,8.366605964638385,ear2-P1051_1,43,72,29,42.0,71.0,28.0,1.7320519087778241,ear2-P1051_1,41,73,37,42.0,73.0,37.0,1.0000019073486328,ear2-P1051_1,41,75,44,42.0,73.0,45.0,2.4494905214556155,ear2-P1051_1,44,81,49,48.0,82.0,49.0,4.123113027217961
6,ear2-P1051_2,68,24,106,40.0,73.0,37.0,89.14028899054149,ear2-P1051_2,61,43,83,41.0,73.0,36.0,59.236774642613874,ear2-P1051_2,61,16,27,42.0,70.0,26.0,57.25378513014655,ear2-P1051_2,73,30,85,42.0,73.0,35.0,72.86967213332802,ear2-P1051_2,79,13,108,43.0,74.0,44.0,95.46195746470855,ear2-P1051_2,66,56,65,48.0,81.0,50.0,34.2636298536576
7,ear2-P1065_3,37,72,62,37.0,72.0,60.0,2.0,ear2-P1065_3,38,72,61,39.0,72.0,58.0,3.1622776601683795,ear2-P1065_3,35,70,42,39.0,73.0,51.0,10.295630140987,ear2-P1065_3,40,72,61,40.0,73.0,60.0,1.4142135623730951,ear2-P1065_3,51,83,82,40.0,74.0,67.0,20.663978319771825,ear2-P1065_3,25,82,19,44.0,81.0,72.0,56.31163290120435
8,ear2-P1094_1,47,35,82,43.0,80.0,42.0,60.340700314473665,ear2-P1094_1,64,24,89,46.0,80.0,39.0,77.20105127155156,ear2-P1094_1,76,60,41,47.0,78.0,32.0,35.29881039513239,ear2-P1094_1,65,22,87,47.0,79.0,40.0,76.03947867675535,ear2-P1094_1,67,20,102,47.0,80.0,48.0,83.16250874659846,ear2-P1094_1,59,66,53,51.0,89.0,52.0,24.372124605058346
9,011_1_R,26,45,38,30.0,50.0,38.0,6.4031242374328485,011_1_R,28,44,35,31.0,46.0,39.0,5.385164807134504,011_1_R,35,38,35,30.0,43.0,30.0,8.660254037844387,011_1_R,30,44,36,30.0,43.0,35.0,1.4142135623730951,011_1_R,30,45,44,31.0,43.0,41.0,3.7416573867739413,011_1_R,33,52,47,34.0,51.0,47.0,1.4142135623730951
10,020_1_L,28,70,40,29.0,69.0,39.0,1.7320508075688772,020_1_L,30,70,35,30.0,69.0,36.0,1.4142135623730951,020_1_L,31,69,28,32.0,70.0,30.0,2.449489742783178,020_1_L,31,70,36,31.0,69.0,37.0,1.4142135623730951,020_1_L,33,70,44,32.0,68.0,44.0,2.23606797749979,020_1_L,34,76,48,36.0,76.0,50.0,2.8284271247461903
11,020_2_L,36,71,78,29.0,95.0,40.0,45.48626166217664,020_2_L,50,24,119,30.0,95.0,36.0,111.04053313993049,020_2_L,32,33,110,31.0,96.0,30.0,101.83319694480774,020_2_L,31,94,38,31.0,95.0,36.0,2.23606797749979,020_2_L,69,20,119,32.0,94.0,43.0,112.34322409473569,020_2_L,34,98,51,36.0,102.0,50.0,4.58257569495584
12,078_1_L,29,77,40,30.0,76.0,40.0,1.4142135623730951,078_1_L,30,77,37,31.0,76.0,38.0,1.7320508075688772,078_1_L,33,75,30,32.0,75.0,30.0,1.0,078_1_L,32,76,37,32.0,77.0,37.0,1.0,078_1_L,31,77,45,33.0,77.0,44.0,2.23606797749979,078_1_L,34,85,48,36.0,85.0,50.0,2.8284271247461903
13,078_1_R,51,11,119,29.0,62.0,38.0,98.21405194777374,078_1_R,54,11,114,29.0,62.0,35.0,97.29850975220535,078_1_R,31,59,32,31.0,61.0,30.0,2.8284271247461903,078_1_R,30,62,38,31.0,61.0,38.0,1.4142135623730951,078_1_R,30,61,45,31.0,61.0,44.0,1.4142135623730951,078_1_R,32,69,48,33.0,67.0,50.0,3.0
14,084_1_R,28,41,40,28.0,40.0,39.0,1.4142135623730951,084_1_R,29,40,35,29.0,40.0,37.0,2.0,084_1_R,30,40,30,30.0,41.0,30.0,1.0,084_1_R,30,41,37,30.0,40.0,37.0,1.0,084_1_R,30,41,45,32.0,41.0,45.0,2.0,084_1_R,34,48,50,35.0,47.0,50.0,1.4142135623730951
15,028_1_R,27,73,42,28.0,72.0,42.0,1.4142135623730951,028_1_R,28,73,40,30.0,72.0,41.0,2.449489742783178,028_1_R,29,72,31,31.0,74.0,29.0,3.4641016151377544,028_1_R,29,73,40,31.0,73.0,37.0,3.605551275463989,028_1_R,31,73,49,32.0,71.0,47.0,3.0,028_1_R,33,79,55,36.0,79.0,53.0,3.605551275463989
16,028_2_R,26,65,36,27.0,66.0,38.0,2.449489742783178,028_2_R,27,66,35,29.0,66.0,37.0,2.8284271247461903,028_2_R,29,64,26,29.0,64.0,30.0,4.0,028_2_R,28,65,35,29.0,65.0,35.0,1.0,028_2_R,30,66,44,31.0,64.0,42.0,3.0,028_2_R,33,72,50,36.0,71.0,48.0,3.7416573867739413
17,035_1_L,30,75,38,30.0,73.0,38.0,2.0,035_1_L,30,75,36,31.0,73.0,36.0,2.23606797749979,035_1_L,32,72,31,31.0,73.0,30.0,1.7320508075688772,035_1_L,33,74,37,32.0,73.0,38.0,1.7320508075688772,035_1_L,32,75,44,32.0,74.0,45.0,1.4142135623730951,035_1_L,36,83,48,34.0,79.0,49.0,4.58257569495584
18,035_2_L,30,64,40,29.0,63.0,38.0,2.449489742783178,035_2_L,30,64,38,31.0,63.0,37.0,1.7320508075688772,035_2_L,31,62,31,31.0,62.0,30.0,1.0,035_2_L,31,64,38,32.0,63.0,39.0,1.7320508075688772,035_2_L,33,64,45,31.0,65.0,48.0,3.7416573867739413,035_2_L,36,72,50,35.0,70.0,50.0,2.23606797749979
