number,Filename 0,Agent 0 pos x,Agent 0 pos y,Agent 0 pos z,Landmark 0 pos x,Landmark 0 pos y,Landmark 0 pos z,Distance 0,Filename 1,Agent 1 pos x,Agent 1 pos y,Agent 1 pos z,Landmark 1 pos x,Landmark 1 pos y,Landmark 1 pos z,Distance 1,Filename 2,Agent 2 pos x,Agent 2 pos y,Agent 2 pos z,Landmark 2 pos x,Landmark 2 pos y,Landmark 2 pos z,Distance 2,Filename 3,Agent 3 pos x,Agent 3 pos y,Agent 3 pos z,Landmark 3 pos x,Landmark 3 pos y,Landmark 3 pos z,Distance 3,Filename 4,Agent 4 pos x,Agent 4 pos y,Agent 4 pos z,Landmark 4 pos x,Landmark 4 pos y,Landmark 4 pos z,Distance 4,Filename 5,Agent 5 pos x,Agent 5 pos y,Agent 5 pos z,Landmark 5 pos x,Landmark 5 pos y,Landmark 5 pos z,Distance 5
1,ear1-P1133_1,20,72,39,28.0,76.0,39.0,8.944273615983679,ear1-P1133_1,36,60,38,28.0,72.0,35.0,14.73092089849042,ear1-P1133_1,27,74,30,28.0,71.0,26.0,5.099019560350521,ear1-P1133_1,26,72,37,28.0,71.0,37.0,2.2360684039959198,ear1-P1133_1,87,5,106,27.0,72.0,47.0,107.56394245570387,ear1-P1133_1,32,78,51,29.0,76.0,51.0,3.605551870592758
2,ear2-P0060_1,44,74,41,45.0,72.0,42.0,2.4494905214556155,ear2-P0060_1,47,77,39,47.0,72.0,41.0,5.385164807134504,ear2-P0060_1,47,73,34,48.0,72.0,35.0,1.7320519087778241,ear2-P0060_1,46,74,41,48.0,73.0,42.0,2.449492857471443,ear2-P0060_1,47,74,50,48.0,73.0,48.0,2.4494905214556155,ear2-P0060_1,51,79,55,52.0,82.0,53.0,3.741657896534757
3,ear2-P0060_2,44,75,43,44.0,73.0,45.0,2.8284271247461903,ear2-P0060_2,46,76,41,47.0,73.0,43.0,3.7416578009545356,ear2-P0060_2,46,74,35,48.0,73.0,36.0,2.4494922734672424,ear2-P0060_2,46,74,42,48.0,72.0,43.0,3.0000020662952416,ear2-P0060_2,47,72,49,47.0,73.0,50.0,1.4142135623730951,ear2-P0060_2,50,81,55,50.0,80.0,56.0,1.4142135623730951
4,ear2-P0407_1,36,68,37,39.0,68.0,37.0,3.0000007152557373,ear2-P0407_1,39,68,36,40.0,68.0,37.0,1.4142137309604992,ear2-P0407_1,40,67,28,41.0,68.0,30.0,2.449489840117165,ear2-P0407_1,39,68,37,41.0,68.0,38.0,2.2360684039959198,ear2-P0407_1,40,69,46,41.0,68.0,43.0,3.316624862241314,ear2-P0407_1,44,76,52,44.0,77.0,51.0,1.4142135623730951
5,ear2-P1051_1,36,73,32,39.0,73.0,37.0,5.830954838815692,ear2-P1051_1,41,75,32,41.0,73.0,35.0,3.605551275463989,ear2-P1051_1,42,73,25,42.0,71.0,28.0,3.605551275463989,ear2-P1051_1,41,73,33,42.0,73.0,37.0,4.123106088218068,ear2-P1051_1,41,74,41,42.0,73.0,45.0,4.242641136686074,ear2-P1051_1,46,82,50,48.0,82.0,49.0,2.2360713894694
6,ear2-P1051_2,36,74,32,40.0,73.0,37.0,6.480726718693892,ear2-P1051_2,40,75,30,41.0,73.0,36.0,6.403123353110539,ear2-P1051_2,42,74,24,42.0,70.0,26.0,4.47213595499958,ear2-P1051_2,41,72,33,42.0,73.0,35.0,2.4494874311066703,ear2-P1051_2,41,74,41,43.0,74.0,44.0,3.6055449935617534,ear2-P1051_2,45,82,50,48.0,81.0,50.0,3.1622615445826114
7,ear2-P1065_3,35,71,62,37.0,72.0,60.0,3.0,ear2-P1065_3,38,73,60,39.0,72.0,58.0,2.449489742783178,ear2-P1065_3,39,72,53,39.0,73.0,51.0,2.23606797749979,ear2-P1065_3,38,72,61,40.0,73.0,60.0,2.449489742783178,ear2-P1065_3,40,73,67,40.0,74.0,67.0,1.0,ear2-P1065_3,45,79,75,44.0,81.0,72.0,3.7416573867739413
8,ear2-P1094_1,43,79,38,43.0,80.0,42.0,4.123105625617661,ear2-P1094_1,46,81,36,46.0,80.0,39.0,3.1622776601683795,ear2-P1094_1,47,79,30,47.0,78.0,32.0,2.23606797749979,ear2-P1094_1,47,79,39,47.0,79.0,40.0,1.0,ear2-P1094_1,104,2,106,47.0,80.0,48.0,112.68106867926154,ear2-P1094_1,51,87,55,51.0,89.0,52.0,3.605551275463989
9,011_1_R,26,44,36,30.0,50.0,38.0,7.483314773547883,011_1_R,28,45,36,31.0,46.0,39.0,4.358898943540674,011_1_R,30,43,28,30.0,43.0,30.0,2.0,011_1_R,29,44,36,30.0,43.0,35.0,1.7320508075688772,011_1_R,30,44,41,31.0,43.0,41.0,1.4142135623730951,011_1_R,33,52,49,34.0,51.0,47.0,2.449489742783178
10,020_1_L,31,69,40,29.0,69.0,39.0,2.23606797749979,020_1_L,31,71,36,30.0,69.0,36.0,2.23606797749979,020_1_L,32,72,29,32.0,70.0,30.0,2.23606797749979,020_1_L,32,71,36,31.0,69.0,37.0,2.449489742783178,020_1_L,33,70,42,32.0,68.0,44.0,3.0,020_1_L,36,77,48,36.0,76.0,50.0,2.23606797749979
11,020_2_L,30,99,43,29.0,95.0,40.0,5.0990195135927845,020_2_L,34,99,42,30.0,95.0,36.0,8.246211251235321,020_2_L,31,97,30,31.0,96.0,30.0,1.0,020_2_L,32,97,38,31.0,95.0,36.0,3.0,020_2_L,33,96,44,32.0,94.0,43.0,2.449489742783178,020_2_L,34,100,53,36.0,102.0,50.0,4.123105625617661
12,078_1_L,28,78,39,30.0,76.0,40.0,3.0,078_1_L,31,77,36,31.0,76.0,38.0,2.23606797749979,078_1_L,31,76,29,32.0,75.0,30.0,1.7320508075688772,078_1_L,31,77,37,32.0,77.0,37.0,1.0,078_1_L,32,76,42,33.0,77.0,44.0,2.449489742783178,078_1_L,35,83,50,36.0,85.0,50.0,2.23606797749979
13,078_1_R,26,62,39,29.0,62.0,38.0,3.1622776601683795,078_1_R,30,62,36,29.0,62.0,35.0,1.4142135623730951,078_1_R,30,60,30,31.0,61.0,30.0,1.4142135623730951,078_1_R,30,61,38,31.0,61.0,38.0,1.0,078_1_R,30,60,42,31.0,61.0,44.0,2.449489742783178,078_1_R,34,69,49,33.0,67.0,50.0,2.449489742783178
14,084_1_R,26,41,39,28.0,40.0,39.0,2.23606797749979,084_1_R,29,41,37,29.0,40.0,37.0,1.0,084_1_R,29,40,29,30.0,41.0,30.0,1.7320508075688772,084_1_R,29,41,36,30.0,40.0,37.0,1.7320508075688772,084_1_R,31,41,43,32.0,41.0,45.0,2.23606797749979,084_1_R,33,45,53,35.0,47.0,50.0,4.123105625617661
15,028_1_R,27,72,40,28.0,72.0,42.0,2.23606797749979,028_1_R,29,73,38,30.0,72.0,41.0,3.3166247903554,028_1_R,28,75,31,31.0,74.0,29.0,3.7416573867739413,028_1_R,29,72,39,31.0,73.0,37.0,3.0,028_1_R,29,71,47,32.0,71.0,47.0,3.0,028_1_R,33,76,56,36.0,79.0,53.0,5.196152422706632
16,028_2_R,36,53,48,27.0,66.0,38.0,18.708286933869708,028_2_R,27,66,33,29.0,66.0,37.0,4.47213595499958,028_2_R,28,66,26,29.0,64.0,30.0,4.58257569495584,028_2_R,28,65,35,29.0,65.0,35.0,1.0,028_2_R,28,63,43,31.0,64.0,42.0,3.3166247903554,028_2_R,32,70,52,36.0,71.0,48.0,5.744562646538029
