30,43,35
29,43,34
30,44,33
31,44,32
31,44,31
32,43,30
31,43,29
30,44,28
29,44,27
28,43,26
28,42,26
29,41,25
30,40,24
31,39,23
31,40,22
32,41,21
33,42,20
33,43,19
34,44,18
34,45,17
33,45,16
33,45,15
34,46,14
35,46,13
36,47,14
35,48,13
34,48,12
33,48,12
32,49,11
33,50,12
34,51,11
34,51,10
34,50,9
35,50,8
35,51,7
34,52,6
34,53,7
34,54,8
33,55,7
32,56,8
31,57,8
31,58,9
32,59,8
32,59,7
33,58,6
34,59,5
34,60,6
35,61,5
36,62,4
35,63,4
34,64,5
33,65,4
34,66,3
34,67,4
35,68,4
35,69,5
36,70,5
37,71,6
38,72,7
38,72,8
39,73,9
40,74,10
41,74,9
42,74,8
42,73,7
42,74,6
41,75,6
40,76,6
39,76,5
38,77,5
37,78,6
36,77,7
36,78,8
35,79,8
34,80,9
34,81,9
34,82,9
34,83,10
33,82,11
32,82,12
32,81,13
33,82,14
34,82,15
35,81,16
36,82,17
37,83,18
36,83,19
36,84,20
36,85,21
37,86,22
38,87,22
38,88,23
39,88,24
39,89,25
38,90,26
39,89,27
39,90,28
39,89,29
40,88,30
40,87,31
41,86,32
42,86,33
42,86,34
43,85,35
43,85,36
43,84,37
42,83,37
42,82,38
42,81,37
43,80,36
44,79,36
45,78,36
44,77,37
45,76,36
44,75,36
44,74,35
44,73,36
44,72,36
43,71,36
42,71,36
41,70,36
41,69,37
40,68,36
41,67,36
40,66,36
40,65,37
39,64,38
38,63,38
39,62,39
38,61,39
38,60,39
37,59,39
36,58,39
35,57,40
35,56,41
35,55,41
35,54,41
35,53,42
36,52,42
37,51,41
36,50,41
36,49,41
36,48,42
36,47,43
35,46,44
34,45,43
33,44,42
32,44,41
31,43,41
